title,company_name,location,via,date_time,salary_standardized,description_tokens
Sr Analyst HR Analytics,Tyson Food Corporation,"Springdale, AR",via Orion Talent,2023-07-19 03:00:20.354255,,"power bi, problem solving, power bi, sas, tableau, r, integrity, alteryx, sap"
Senior Business Analyst – Health Data Analyst (remote/home-based),Wolters Kluwer,Anywhere,via Jobgether,2023-07-19 03:00:20.354255,,"postgresql, communication, python, power bi, tableau, dax, qlik, sql, pl/sql, creativity, t-sql"
I need a data analyst or scientist to help build an excel dashboard,Upwork,Anywhere,via Upwork,2023-07-19 03:00:20.354255,,excel
Healthcare Data Analyst,Mastech Digital,Anywhere,via LinkedIn,2023-07-19 03:00:20.354255,,"snowflake, ssis, sql"
Data Analyst - Data17827,Acrisure,"Tulsa, OK",via Indeed,2023-07-19 03:00:20.354255,,"azure, linux, postgres, sql, shell, power bi"
Enrollment Data Analyst (EDI) (2),American Fidelity,"Oklahoma City, OK",via MyArklaMiss Jobs,2023-07-19 03:00:22.134994,,sql
Data Analyst,Devon Energy,"Oklahoma City, OK",via Trabajo.org,2023-07-19 03:00:22.134994,,"communication, python, azure, power bi, snowflake, excel, sql"
Business Information Analyst II,Elevance Health,"Jefferson City, MO",via Nexxt,2023-07-19 03:00:22.134994,,sql
Data Analyst II,SmileDirectClub,Anywhere,via Job Listings At SmileDirectClub - ICIMS,2023-07-19 03:00:22.134994,,"communication, looker, initiative, r, excel, sql, python, collaboration, flexibility"
Healthcare Data Analyst,Mastech Digital,Anywhere,via LinkedIn,2023-07-19 03:00:22.134994,,"snowflake, ssis, sql"
Public Health Data Analyst - Hybrid,Rumph & Associates,United States,via Indeed,2023-07-19 03:00:22.134994,,"communication, html, power bi, word, power bi, sas, r, excel, sql, outlook, presentation skills, spss"
Transportation Program Specialist / Transportation Data Analyst ...,Federal Transit Administration,"Kansas City, MO",via ZipRecruiter,2023-07-19 03:00:22.134994,70103.0,"communication, problem solving"
Data Analyst,SynergisticIT,United States,via Trabajo.org,2023-07-19 03:00:22.134994,,"python, machine learning, sql, matlab, nosql"
Data Analyst,Frankfurt Short Bruza,"Oklahoma City, OK",via Snagajob,2023-07-19 03:00:22.134994,,"communication, interpersonal skills, power bi, sql, sharepoint, power bi"
Data Analyst/Engineer,"Macannie, Inc.",Anywhere,via LinkedIn,2023-07-19 03:00:22.134994,,"postgresql, sql, problem solving"
Looking for a Data Analyst and Database Expert,Upwork,Anywhere,via Upwork,2023-07-19 03:00:23.878994,156000.0,"excel, spreadsheet"
Data Analyst - Now Hiring,Kansas State University,Anywhere,via Snagajob,2023-07-19 03:00:23.878994,,"power bi, sas, r, interpersonal skills, spreadsheet, presentation skills, spss, resource management"
Data Analyst,"Aara Technologies, Inc",United States,via Trabajo.org,2023-07-19 03:00:23.878994,,"excel, sql, integrity"
Business Intelligence Data Analyst,Talascend - Where Opportunities Await.,United States,via LinkedIn,2023-07-19 03:00:23.878994,,"communication, power bi, visio, excel, word, sql, sharepoint, presentation skills, power bi, powerpoint"
Data Analyst-Finance - FP&A,Textron,"Wichita, KS",via ZipRecruiter,2023-07-19 03:00:23.878994,,"r, sas, communication, python, power bi, tableau, excel, dax, sql, alteryx, collaboration, powerpoint"
Seeking a Part-Time Data Analyst,Upwork,Anywhere,via Upwork,2023-07-19 03:00:23.878994,31200.0,
Supply chain Data Analyst,Amtex Systems Inc.,Anywhere,via LinkedIn,2023-07-19 03:00:23.878994,,"power bi, c, vba, java, sas, initiative, c++, tableau, perl, r, excel, python, alteryx, sap"
ILI Data Analyst,Jobot,"Tulsa, OK",via Snagajob,2023-07-19 03:00:23.878994,,"interpersonal skills, crystal, integrity"
Clinical Data Analyst,"Synergy Business Consulting, Inc.",Anywhere,via LinkedIn,2023-07-19 03:00:23.878994,,"communication, initiative, spreadsheet, critical thinking, presentation skills, flexibility"
Data Analyst/Scientist/Steward - Contract to Hire,Upwork,Anywhere,via Upwork,2023-07-19 03:00:23.878994,171600.0,"tableau, snowflake"
Seeking a Part-Time Data Analyst,Upwork,Anywhere,via Upwork,2023-07-19 03:00:27.317449,31200.0,
Data Science Analyst,CVS Health,Anywhere,via LinkedIn,2023-07-19 03:00:27.317449,,"communication, machine learning, sql, integrity"
Data Analyst/Scientist/Steward - Contract to Hire,Upwork,Anywhere,via Upwork,2023-07-19 03:00:27.317449,171600.0,"tableau, snowflake"
Business Analyst (Data Governance/Data Analyst)),Allwyn Corporation,Anywhere,via LinkedIn,2023-07-19 03:00:27.317449,,"time management, communication"
ILI Inspection Data Analyst III - Now Hiring,Jobot,"Tulsa, OK",via Snagajob,2023-07-19 03:00:27.317449,,integrity
Data Management Analyst,Energy Jobline,"Sand Springs, OK",via LinkedIn,2023-07-19 03:00:27.317449,,"time management, communication, interpersonal skills, teamwork"
Data analysis,Upwork,Anywhere,via Upwork,2023-07-19 03:00:27.317449,41600.0,communication
Data Warehouse Analyst,Strategic Staffing Solutions,Anywhere,via LinkedIn,2023-07-19 03:00:27.317449,114400.0,"communication, python, interpersonal skills, ssis, sql, integrity, problem solving"
"(USA) Senior Manager I, Data Engineering, E2E",Walmart,"Elkins, AR",via ZipRecruiter,2023-07-19 03:00:27.317449,,"azure, bigquery, machine learning, data lake, spark, power bi, java, looker, scala, tableau, airflow, sql, python, git, collaboration"
Sr. Business /Data Analyst (Retail) W2 only,Akkodis,Anywhere,via LinkedIn,2023-07-19 03:00:27.317449,,"communication, go, flexibility"
"Senior Data Analyst, Revenue Operations","Hazel Health, Inc.",United States,via Trabajo.org,2023-07-19 03:00:28.898944,,"sql, snowflake, collaboration"
Business Analyst (Data Governance/Data Analyst)),Allwyn Corporation,Anywhere,via LinkedIn,2023-07-19 03:00:28.898944,,"time management, communication"
ILI Inspection Data Analyst III - Now Hiring,Jobot,"Tulsa, OK",via Snagajob,2023-07-19 03:00:28.898944,,integrity
"Configuration and Logistics Data Analyst I, II, III, Engineering",Bath Iron Works Corp,United States,via Trabajo.org,2023-07-19 03:00:28.898944,,
Looking for a Data Analyst and Database Expert,Upwork,Anywhere,via Upwork,2023-07-19 03:00:28.898944,156000.0,"excel, spreadsheet"
Supply chain Data Analyst,Amtex Systems Inc.,Anywhere,via LinkedIn,2023-07-19 03:00:28.898944,,"power bi, c, vba, java, sas, initiative, c++, tableau, perl, r, excel, python, alteryx, sap"
Mid-Level Data Scientist,"V-Soft Consulting Group, Inc.",Anywhere,via LinkedIn,2023-07-19 03:00:28.898944,,"r, python, machine learning, git"
Lead Data Security Analyst,Discover,United States,via Trabajo.org,2023-07-19 03:00:28.898944,,integrity
Data Analyst/Engineer Required - Contract to Hire,Upwork,Anywhere,via Upwork,2023-07-19 03:00:28.898944,,python
Tivoli Batch Scheduler / Data Analyst / Report writer,"4Consulting, Inc.",Anywhere,via LinkedIn,2023-07-19 03:00:28.898944,,
Power BI Dashboards Expert,Upwork,Anywhere,via Upwork,2023-07-19 03:00:30.408510,,"communication, power bi"
Excel Tool Creation or Re,Upwork,Anywhere,via Upwork,2023-07-19 03:00:30.408510,60320.0,"vba, excel"
Sr Data Governance Analyst,Honeywell,"Overland Park, KS",via LinkedIn,2023-07-19 03:00:30.408510,,"excel, sql"
PowerBI Expert Needed - Contract to Hire,Upwork,Anywhere,via Upwork,2023-07-19 03:00:30.408510,57200.0,"communication, power bi, tableau"
Sr Data Governance Analyst,Honeywell,"Kansas City, MO",via LinkedIn,2023-07-19 03:00:30.408510,,"excel, sql"
Configure new Google Analytics to simple standard,Upwork,Anywhere,via Upwork,2023-07-19 03:00:30.408510,67600.0,
Business Intelligence Analyst,Venteon,Anywhere,via LinkedIn,2023-07-19 03:00:30.408510,97500.0,spreadsheet
Data Scientist,Tential Solutions,Anywhere,via LinkedIn,2023-07-19 03:00:30.408510,,"github, communication, azure, power bi, machine learning, pyspark, sas, numpy, initiative, tableau, sharepoint, r, mongo, sql, pandas, integrity, python, git, scikit-learn, dax, pytorch, matlab, nosql"
Business Analyst with Power BI and Data Warehousing Expertise ...,Upwork,Anywhere,via Upwork,2023-07-19 03:00:30.408510,,"communication, power bi, mysql, dax, sql, integrity"
GA4 Analytics set up and google tags - Contract to Hire,Upwork,Anywhere,via Upwork,2023-07-19 03:00:30.408510,,
Big Data Lead,Akkodis,Anywhere,via LinkedIn,2023-07-19 03:00:33.613195,,"python, azure, go, snowflake, sql, pyspark, spark, flexibility"
Power BI Dashboards Expert,Upwork,Anywhere,via Upwork,2023-07-19 03:00:33.613195,,"communication, power bi"
Excel Tool Creation or Re,Upwork,Anywhere,via Upwork,2023-07-19 03:00:33.613195,60320.0,"vba, excel"
BI Data Analyst I,"REFLECT Real Estate,LLC",Anywhere,via LinkedIn,2023-07-19 03:00:33.613195,,"r, communication, power bi, tableau, ssrs, excel, word, qlik, sql, powerpoint"
PowerBI Expert Needed - Contract to Hire,Upwork,Anywhere,via Upwork,2023-07-19 03:00:33.613195,57200.0,"communication, power bi, tableau"
Data Analyst II (Healthcare Analytics),Centene Corporation,United States,via LinkedIn,2023-07-19 03:00:33.613195,,"python, flexibility, power bi"
Sr Data Governance Analyst,Honeywell,"Overland Park, KS",via LinkedIn,2023-07-19 03:00:33.613195,,"excel, sql"
Configure new Google Analytics to simple standard,Upwork,Anywhere,via Upwork,2023-07-19 03:00:33.613195,67600.0,
"Data Analyst, Production",Continental Resources,"Oklahoma City, OK",via LinkedIn,2023-07-19 03:00:33.613195,,"communication, detail oriented, r, sql, accountability, integrity, python, alteryx, sap, flexibility"
"Data analysis, cleansing and excel modelling required for...",Upwork,Anywhere,via Upwork,2023-07-19 03:00:33.613195,60320.0,excel
Data Analyst,Insight Global,Anywhere,via LinkedIn,2023-05-24 19:20:03.549726,,"communication, azure, power bi, ssrs, dax, sql, integrity, nosql, power bi"
Data Analyst (Remote),Clearcover,Anywhere,via Built In,2023-05-24 19:20:03.549726,,"github, looker, sql, integrity, python, bitbucket, flexibility"
Data Analyst - open to recent college grads (SEQUEL Software...,Cube Hub Inc.,"Wichita, KS",via LinkedIn,2023-05-24 19:20:03.549726,,"communication, tableau"
Master Data Analyst,Charles River Laboratories,United States,via Indeed,2023-05-24 19:20:03.549726,70000.0,"communication, word, detail oriented, excel, integrity, sap, powerpoint"
Data Analyst,Kitestring,"Rogers, AR",via Salary.com,2023-05-24 19:20:03.549726,,"power bi, sql"
Data Analyst II,Corporate,"Kansas City, MO",via Monster,2023-05-24 19:20:03.549726,,"ssrs, excel, ssis, sql, flexibility"
Data Analyst - HR Analytics (H),Avispa,United States,via LinkedIn,2023-05-24 19:20:03.549726,,"time management, python, initiative, tableau, excel, sql, integrity"
Data Analyst - Global Learning Management,TekWissen Group,"Wichita, KS",via ZipRecruiter,2023-05-24 19:20:03.549726,,"communication, tableau"
Operations Data Analyst,"Paycom Software, Inc.","Oklahoma City, OK",via CareerBuilder,2023-05-24 19:20:03.549726,,"communication, power bi, tableau, excel, integrity"
Location  Price Data Analyst,Complete Staffing LLC,United States,via WayUp,2023-05-24 19:20:03.549726,,"communication, spreadsheet"
Data Analyst,Insight Global,Anywhere,via LinkedIn,2023-05-24 19:20:05.004010,,"communication, azure, power bi, ssrs, dax, sql, integrity, nosql, power bi"
Data Analyst (Remote),Clearcover,Anywhere,via Built In,2023-05-24 19:20:05.004010,,"github, looker, sql, integrity, python, bitbucket, flexibility"
Data Analyst - open to recent college grads (SEQUEL Software...,Cube Hub Inc.,"Wichita, KS",via LinkedIn,2023-05-24 19:20:05.004010,,"communication, tableau"
Master Data Analyst,Charles River Laboratories,United States,via Indeed,2023-05-24 19:20:05.004010,70000.0,"communication, word, detail oriented, excel, integrity, sap, powerpoint"
Data Analyst,Kitestring,"Rogers, AR",via Salary.com,2023-05-24 19:20:05.004010,,"power bi, sql"
Data Analyst II,Corporate,"Kansas City, MO",via Monster,2023-05-24 19:20:05.004010,,"ssrs, excel, ssis, sql, flexibility"
Data Analyst - HR Analytics (H),Avispa,United States,via LinkedIn,2023-05-24 19:20:05.004010,,"time management, python, initiative, tableau, excel, sql, integrity"
Data Analyst - Global Learning Management,TekWissen Group,"Wichita, KS",via ZipRecruiter,2023-05-24 19:20:05.004010,,"communication, tableau"
Operations Data Analyst,"Paycom Software, Inc.","Oklahoma City, OK",via CareerBuilder,2023-05-24 19:20:05.004010,,"communication, power bi, tableau, excel, integrity"
Location  Price Data Analyst,Complete Staffing LLC,United States,via WayUp,2023-05-24 19:20:05.004010,,"communication, spreadsheet"
Data Analyst,Insight Global,Anywhere,via LinkedIn,2023-05-24 19:20:30.422649,,"communication, azure, power bi, ssrs, dax, sql, integrity, nosql, power bi"
Data Analyst (Remote),Clearcover,Anywhere,via Built In,2023-05-24 19:20:30.422649,,"github, looker, sql, integrity, python, bitbucket, flexibility"
Data Analyst - open to recent college grads (SEQUEL Software...,Cube Hub Inc.,"Wichita, KS",via LinkedIn,2023-05-24 19:20:30.422649,,"communication, tableau"
Master Data Analyst,Charles River Laboratories,United States,via Indeed,2023-05-24 19:20:30.422649,70000.0,"communication, word, detail oriented, excel, integrity, sap, powerpoint"
Data Analyst,Kitestring,"Rogers, AR",via Salary.com,2023-05-24 19:20:30.422649,,"power bi, sql"
Data Analyst II,Corporate,"Kansas City, MO",via Monster,2023-05-24 19:20:30.422649,,"ssrs, excel, ssis, sql, flexibility"
Data Analyst - HR Analytics (H),Avispa,United States,via LinkedIn,2023-05-24 19:20:30.422649,,"time management, python, initiative, tableau, excel, sql, integrity"
Data Analyst - Global Learning Management,TekWissen Group,"Wichita, KS",via ZipRecruiter,2023-05-24 19:20:30.422649,,"communication, tableau"
Operations Data Analyst,"Paycom Software, Inc.","Oklahoma City, OK",via CareerBuilder,2023-05-24 19:20:30.422649,,"communication, power bi, tableau, excel, integrity"
Location  Price Data Analyst,Complete Staffing LLC,United States,via WayUp,2023-05-24 19:20:30.422649,,"communication, spreadsheet"
Data Analyst,Robert Half,"Oklahoma City, OK",via LinkedIn,2023-05-21 07:00:30.990626,,"communication, go"
Data Analyst,Apex Health Solutions,United States,via LinkedIn,2023-05-21 07:00:30.990626,,"communication, azure, excel, sql, power bi"
Marketing Data Analyst,Ledger Bennett,Anywhere,via LinkedIn,2023-05-21 07:00:30.990626,,"data lakes, tableau, excel, sql"
"Boolean Search Data Analyst | $54,000-$108,000+ | Forbes Top 100...",IT Pros,Anywhere,via Indeed,2023-05-21 07:00:30.990626,,patience
Product Data Analyst - Ditch Witch - Now Hiring,The Toro Company,"Perry, OK",via Snagajob,2023-05-21 07:00:30.990626,,"initiative, interpersonal skills, excel, sap, assembly"
Associate Benefits Data Analyst - Remote in Little Rock,Talentify.io,Anywhere,via LinkedIn,2023-05-21 07:00:30.990626,,"communication, word, initiative, go, excel"
Experienced Data Analyst Required: Dynamic Data Visualization and...,Upwork,Anywhere,via Upwork,2023-05-21 07:00:30.990626,116480.0,"excel, sql"
Data Analyst,WEBTPA,United States,via WebTPA Jobs,2023-05-21 07:00:30.990626,,"vba, communication, power bi, ssrs, excel, ssis, sql, crystal, problem solving"
Clinical Data Analyst (Admin),Medical Associates of NWA,"Fayetteville, AR",via Indeed,2023-05-21 07:00:30.990626,,"communication, go"
Data Analyst III,Centene Corporation,"Kansas City, MO",via Recruit.net,2023-05-21 07:00:30.990626,,"excel, sql, flexibility"
"Data Analyst (Olathe, KS; )",CEDENT,"Olathe, KS",via ZipRecruiter,2023-05-27 03:00:10.093916,,"communication, tableau"
Data Analyst,Dice,"Olathe, KS",via LinkedIn,2023-05-27 03:00:10.093916,,"communication, tableau"
Data Analyst,Codersdata,Anywhere,via LinkedIn,2023-05-27 03:00:10.093916,,"python, tableau, sql"
Data Analyst I,US Tech Solutions,Anywhere,via LinkedIn,2023-05-27 03:00:10.093916,,"communication, problem solving, sas, tableau, r, interpersonal skills, excel, sql, spreadsheet"
Data Analyst - Contract to Hire,Upwork,Anywhere,via Upwork,2023-05-27 03:00:10.093916,67600.0,"communication, sql, problem solving, power bi"
Data Analyst,Holistic-Partners,Anywhere,via Dice,2023-05-27 03:00:10.093916,,"communication, integrity"
DATA ANALYST II #00077065,University of Missouri - Kansas City,"Kansas City, MO",via Indeed,2023-05-27 03:00:10.093916,70600.0,"communication, power bi, sas, tableau, r, sql, integrity, spss, strategic thinking, python, collaboration"
Data Analyst,GDH,"Tulsa, OK",via GDHinc Jobs - GDH Consulting,2023-05-27 03:00:10.093916,,"communication, python, html, excel, qlik, sql, javascript"
Operational Systems Analyst (Data Analyst),Akkodis,Anywhere,via LinkedIn,2023-05-27 03:00:10.093916,,"power bi, excel"
Data Analyst Senior,Highmark Health,"Jefferson City, MO",via KARK Jobs,2023-05-27 03:00:10.093916,,"accountability, resource management, cognos"
Spanish speaking Online Data Analyst in the US | Part-time WFH...,ProZ.com,United States,via ProZ.com,2023-05-27 03:00:11.864997,,"go, machine learning"
Reporting - HEALTH DATA ANALYST II 135-2008,CommunityCare,"Tulsa, OK",via Indeed,2023-05-27 03:00:11.864997,,"sas, communication, power bi, tableau, sql"
Data Analyst,American Technology Consulting - ATC,United States,via LinkedIn,2023-05-27 03:00:11.864997,,initiative
Azure Data Analyst/Modelers/Architect,Amrutha Business Solutions,United States,via WJTV Jobs,2023-05-27 03:00:11.864997,,azure
"Financial Data Analyst, EMEA",Stripe,United States,via Ai-Jobs.net,2023-05-27 03:00:11.864997,111175.0,sql
Data analyst,Upwork,Anywhere,via Upwork,2023-05-27 03:00:11.864997,,spreadsheet
Data Analyst,Gibson Consulting,United States,via LinkedIn,2023-05-27 03:00:11.864997,,"java, r, aws, sas, communication, azure, python, interpersonal skills, power bi, c++, tableau, excel, word, sql, presentation skills, power bi, powerpoint"
Business Data Analyst,Eliassen Group,Anywhere,via LinkedIn,2023-05-27 03:00:11.864997,75500.0,"power bi, excel, word, sql, collaboration"
Data Analyst 2 - Now Hiring,Yoh,"Bentonville, AR",via Snagajob,2023-05-27 03:00:11.864997,,"communication, excel, powerpoint"
Senior HR Data Analyst with Polygraph,Deloitte,United States,via Fairygodboss,2023-05-27 03:00:11.864997,,"communication, spreadsheet, excel, powerpoint"
"Financial Data Analyst, EMEA",Stripe,United States,via Ai-Jobs.net,2023-05-27 03:00:17.945917,111175.0,sql
Business Data Analyst,UST,Anywhere,via LinkedIn,2023-05-27 03:00:17.945917,,"time management, communication, interpersonal skills, power bi, tableau, excel, qlik, sql, jira, presentation skills"
Data Analyst 2 - Now Hiring,Yoh,"Bentonville, AR",via Snagajob,2023-05-27 03:00:17.945917,,"communication, excel, powerpoint"
Business Data Analyst,Eliassen Group,Anywhere,via LinkedIn,2023-05-27 03:00:17.945917,75500.0,"power bi, excel, word, sql, collaboration"
Senior HR Data Analyst with Polygraph,Deloitte,United States,via Fairygodboss,2023-05-27 03:00:17.945917,,"communication, spreadsheet, excel, powerpoint"
Data analyst,Upwork,Anywhere,via Upwork,2023-05-27 03:00:17.945917,,spreadsheet
Data Analyst I,Partners HealthCare,United States,via BeBee,2023-05-27 03:00:17.945917,,"r, sas, python, spss"
Health Data Analyst,Blue Cross and Blue Shield of Nebraska,Anywhere,via LinkedIn,2023-05-27 03:00:17.945917,,"azure, power bi, tableau, r, excel, sql, python"
Junior Financial Data Analyst,Humana,"Springfield, MO",via Trabajo.org,2023-05-27 03:00:17.945917,,"power bi, initiative, excel, sql, collaboration"
Clinical Data Analyst,Mercy Health,"Springfield, MO",via BeBee,2023-05-27 03:00:17.945917,,"communication, sas, tableau, critical thinking, go, accountability, outlook, spss"
Data Analyst II,Lockton Companies,"Kansas City, MO",via ZipRecruiter,2023-05-27 03:00:20.983701,,"communication, initiative, power bi, tableau, excel, sql, accountability, integrity"
Senior Data Analyst,Eliassen Group,United States,via LinkedIn,2023-05-27 03:00:20.983701,145600.0,"aws, data lakes, power bi, snowflake, sql, hadoop, sap"
Data Analyst,Kelly Services,"Wichita, KS",via BeBee,2023-05-27 03:00:20.983701,,"communication, tableau, go"
Clinical Data Analyst (Medical Statistician) - Contract to Hire,Upwork,Anywhere,via Upwork,2023-05-27 03:00:20.983701,,"php, flexibility"
SQL Data Analyst - Colorado,Sogeti,Anywhere,via LinkedIn,2023-05-27 03:00:20.983701,,"azure, power bi, sharepoint, excel, sql, collaboration, flexibility"
Business data analyst,"Acadia Technologies, Inc.",United States,via Trabajo.org,2023-05-27 03:00:20.983701,,"nosql, sql, r, communication, python, machine learning, critical thinking, matlab"
Data Analyst,"Kelly Science, Engineering, Technology & Telecom",United States,via BeBee,2023-05-27 03:00:20.983701,,problem solving
Data Analyst II,Snappt Inc,Anywhere,via LinkedIn,2023-05-27 03:00:20.983701,,"azure, tableau, aws, sql, jira"
Sr. IT Business Analyst,GDH,"Tulsa, OK",via GDHinc Jobs,2023-05-27 03:00:20.983701,,"communication, azure, power bi, problem solving, initiative, sharepoint, ssrs, excel, sql, decision making"
Data Analyst,Arthur Lawrence,"Lawrence, KS",via Trabajo.org,2023-05-27 03:00:20.983701,,"postgresql, aws, tableau, sql, integrity, collaboration"
Data Analyst,Motion Recruitment,United States,via BeBee,2023-05-27 03:00:26.679048,,"java, python, tableau, excel, machine learning, sql"
Senior Data Analyst,Indotronix Avani Group,United States,via LinkedIn,2023-05-27 03:00:26.679048,,"sql, hadoop, jira"
Data Analyst,Arthur Lawrence,"Lawrence, KS",via Trabajo.org,2023-05-27 03:00:26.679048,,"postgresql, aws, tableau, sql, integrity, collaboration"
Data Analyst,"Aara Technologies, Inc","Kansas City, MO",via BeBee,2023-05-27 03:00:26.679048,,
"Data Analyst, Health Finance",Planned Parenthood of Metropolitan Washington DC,United States,via Trabajo.org,2023-05-27 03:00:26.679048,,tableau
Telecommunications Data Analyst,Cartesian,Anywhere,via LinkedIn,2023-05-27 03:00:26.679048,,"r, communication, python, tableau, sql, nosql"
*Budget Analyst - CTO,University of Oklahoma,"Oklahoma City, OK",via ZipRecruiter,2023-05-27 03:00:26.679048,,"communication, problem solving, negotiation, decision making"
Data Analyst II,Bizzell Group,United States,via BeBee,2023-05-27 03:00:26.679048,,"sas, communication, tableau"
Data Analyst IV,Corporate,United States,via Trabajo.org,2023-05-27 03:00:26.679048,,"power bi, go, python, flexibility"
Senior Business Systems Data Analyst,MTC Holding Corporation,"Stilwell, KS",via BeBee,2023-05-27 03:00:26.679048,,time management
"Data Analyst, Health Finance",Planned Parenthood of Metropolitan Washington DC,United States,via Trabajo.org,2023-05-27 03:00:28.191218,,tableau
*Budget Analyst - CTO,University of Oklahoma,"Oklahoma City, OK",via ZipRecruiter,2023-05-27 03:00:28.191218,,"communication, problem solving, negotiation, decision making"
Drupal Analyst,Upwork,Anywhere,via Upwork,2023-05-27 03:00:28.191218,,
Data Analyst,American Technology Consulting - ATC,United States,via BeBee,2023-05-27 03:00:28.191218,,initiative
Telecommunications Data Analyst,Cartesian,Anywhere,via LinkedIn,2023-05-27 03:00:28.191218,,"r, communication, python, tableau, sql, nosql"
Marketing Data Analyst,"World Education Services, Inc.",United States,via Trabajo.org,2023-05-27 03:00:28.191218,,"communication, tableau, interpersonal skills, teamwork, sql, python, snowflake, jira"
Data Analyst II,Bizzell Group,United States,via BeBee,2023-05-27 03:00:28.191218,,"sas, communication, tableau"
Data Analyst IV,Corporate,United States,via Trabajo.org,2023-05-27 03:00:28.191218,,"power bi, go, python, flexibility"
Senior Business Systems Data Analyst,MTC Holding Corporation,"Stilwell, KS",via BeBee,2023-05-27 03:00:28.191218,,time management
Pipeline Compliance Systems Data Analyst,Safety Management Systems,United States,via LinkedIn,2023-05-27 03:00:28.191218,,"communication, sql, sharepoint"
Senior Business Systems Data Analyst,MTC Holding Corporation,"Edwardsville, KS",via Trabajo.org,2023-05-27 03:00:30.978570,,time management
EDM Data Platform DevOps,IT Minds LLC,Anywhere,via LinkedIn,2023-05-27 03:00:30.978570,,jira
Junior Financial Data Analyst,Humana,"Overland Park, KS",via BeBee,2023-05-27 03:00:30.978570,,"power bi, initiative, excel, sql, collaboration"
Salesforce Data Analytics Lead,Piper Companies,Anywhere,via LinkedIn,2023-05-27 03:00:30.978570,,"r, python, tableau, excel, sql, jira, sharepoint, powerpoint"
Business Systems Data Analyst,MTC Holding Corporation,"Independence, MO",via Trabajo.org,2023-05-27 03:00:30.978570,,time management
Data Analyst III,Centene Corporation,"Topeka, KS",via BeBee,2023-05-27 03:00:30.978570,,"sas, excel, sql, flexibility, power bi"
Data Scientist,Oxford Global Resources,Anywhere,via LinkedIn,2023-05-27 03:00:30.978570,,"aws, communication, python, sql, redshift"
Senior Business Systems Data Analyst,MTC Holding Corporation,"Bonner Springs, KS",via Trabajo.org,2023-05-27 03:00:30.978570,,time management
eDiscovery Analyst (Weekend Schedule),iDiscovery Solutions,Anywhere,via LinkedIn,2023-05-27 03:00:30.978570,85000.0,"python, sql, nuix, problem solving, flexibility"
Business SQL Reporting Analyst,Elevance Health,"Springfield, MO",via LinkedIn,2023-05-27 03:00:30.978570,,"sas, tableau, excel, sql"
Business Systems Data Analyst,MTC Holding Corporation,"Prairie Village, KS",via Trabajo.org,2023-05-27 03:00:36.834989,,time management
Senior Data Integration Developer- Health Care Analyst,"Global Technical Talent, an Inc. 5000 Company",Anywhere,via LinkedIn,2023-05-27 03:00:36.834989,,"communication, sas, sql, linux/unix, shell"
Senior Business Systems Data Analyst,MTC Holding Corporation,"Grandview, MO",via Trabajo.org,2023-05-27 03:00:36.834989,,time management
BI Analyst - Finance,Arrow Electronics,Anywhere,via LinkedIn,2023-05-27 03:00:36.834989,,"communication, machine learning, power bi, qlik, sql, presentation skills, ssis"
